world_x,world_y,world_z,rx,ry,rz
138.04,-923.66,138.09,129.42,0.00,-23.01
139.08,-924.50,134.12,131.06,0.00,-21.63
134.13,-915.09,151.76,117.87,0.00,-34.17
137.89,-922.40,138.25,128.20,0.00,-24.94
137.38,-919.96,144.70,125.58,0.00,-27.53
135.14,-917.38,148.35,120.63,0.00,-33.40
137.37,-922.09,139.88,126.29,0.00,-26.74
136.73,-921.88,140.22,126.04,0.00,-28.15
134.96,-917.20,148.48,119.83,0.00,-33.07
136.15,-919.28,144.50,123.55,0.00,-30.60
136.46,-918.43,145.12,123.09,0.00,-30.36
135.31,-914.90,151.16,117.08,0.00,-35.94
136.04,-916.17,148.66,120.04,0.00,-32.16
135.66,-916.64,147.33,118.77,0.00,-33.20
134.64,-915.12,151.72,117.13,0.00,-34.93
132.62,-909.95,161.18,107.10,0.00,-41.30
131.45,-909.52,160.34,102.76,0.00,-44.35
134.55,-916.05,149.53,115.84,0.00,-34.79
132.16,-909.90,159.67,104.57,0.00,-43.62
131.93,-910.07,157.93,103.03,0.00,-43.33
132.24,-909.39,159.78,105.49,0.00,-42.96
130.55,-907.79,163.96,102.02,0.00,-45.10
132.22,-912.40,157.84,106.85,0.00,-41.56
132.60,-908.03,162.94,103.61,0.00,-43.91
132.23,-910.09,159.18,103.78,0.00,-43.18
131.32,-910.07,161.66,103.63,0.00,-43.76
131.48,-906.07,164.49,99.08,0.00,-46.67
131.97,-912.94,156.57,106.87,0.00,-41.69
131.68,-907.52,163.59,100.64,0.00,-45.01
131.38,-910.47,160.53,101.60,0.00,-44.00
130.57,-907.33,163.81,99.60,0.00,-46.74
131.49,-909.62,160.10,103.35,0.00,-43.51
131.35,-910.75,158.85,103.62,0.00,-43.34
134.23,-911.97,157.17,111.16,0.00,-37.86
131.14,-908.89,161.70,101.34,0.00,-44.16
130.63,-908.07,160.83,99.45,0.00,-46.08
130.81,-908.30,162.86,98.69,0.00,-46.32
132.30,-906.69,163.27,98.38,0.00,-46.56
131.66,-907.61,160.91,97.60,0.00,-48.18
131.24,-908.26,160.58,98.42,0.00,-46.98
131.88,-909.56,160.19,98.65,0.00,-45.38
132.53,-906.64,164.62,98.61,0.00,-46.00
132.35,-906.37,162.74,97.43,0.00,-47.24
131.11,-905.75,166.40,97.33,0.00,-47.59
