X,Y,Z,RX,RY,RZ
362.28,-529.97,125.17,99.16,6.48,-1.96
362.26,-529.86,125.45,99.12,6.50,-1.95
362.25,-529.75,125.72,99.07,6.51,-1.94
362.23,-529.64,126.00,99.02,6.52,-1.94
362.22,-529.53,126.28,98.97,6.53,-1.93
362.20,-529.42,126.55,98.92,6.55,-1.92
362.19,-529.31,126.83,98.88,6.56,-1.91
362.17,-529.20,127.11,98.83,6.57,-1.90
362.16,-529.09,127.38,98.78,6.59,-1.89
362.14,-528.98,127.66,98.73,6.60,-1.88
362.13,-528.87,127.94,98.69,6.61,-1.88
362.11,-528.76,128.21,98.64,6.63,-1.87
362.10,-528.65,128.49,98.59,6.64,-1.86
362.08,-528.50,128.74,98.55,6.65,-1.86
362.05,-528.36,128.99,98.52,6.67,-1.86
362.03,-528.21,129.24,98.48,6.68,-1.86
362.01,-528.07,129.48,98.44,6.70,-1.86
361.98,-527.92,129.73,98.40,6.71,-1.86
361.96,-527.77,129.98,98.37,6.73,-1.86
361.94,-527.63,130.23,98.33,6.74,-1.86
361.91,-527.48,130.48,98.29,6.76,-1.86
361.89,-527.34,130.73,98.26,6.77,-1.86
361.87,-527.19,130.97,98.22,6.79,-1.86
361.84,-527.05,131.22,98.18,6.80,-1.86
361.82,-526.90,131.47,98.14,6.82,-1.86
361.80,-526.76,131.72,98.11,6.83,-1.86
361.77,-526.61,131.97,98.07,6.84,-1.86
361.75,-526.46,132.21,98.03,6.86,-1.86
361.73,-526.32,132.46,97.99,6.87,-1.86
361.70,-526.17,132.71,97.96,6.89,-1.86
361.68,-526.03,132.96,97.92,6.90,-1.86
361.66,-525.88,133.21,97.88,6.92,-1.86
361.63,-525.74,133.46,97.85,6.93,-1.86
361.61,-525.59,133.70,97.81,6.95,-1.86
361.59,-525.45,133.95,97.77,6.96,-1.86
361.56,-525.30,134.20,97.73,6.98,-1.87
361.54,-525.15,134.45,97.70,6.99,-1.87
361.52,-525.01,134.70,97.66,7.01,-1.87
361.49,-524.86,134.95,97.62,7.02,-1.87
361.46,-524.68,135.18,97.60,7.04,-1.88
361.43,-524.49,135.41,97.57,7.05,-1.88
361.39,-524.30,135.64,97.54,7.07,-1.89
361.36,-524.11,135.87,97.51,7.09,-1.90
361.32,-523.93,136.09,97.49,7.11,-1.91
361.29,-523.74,136.32,97.46,7.12,-1.92
361.26,-523.55,136.55,97.43,7.14,-1.93
361.22,-523.37,136.78,97.40,7.16,-1.94
361.19,-523.18,137.01,97.38,7.17,-1.95
361.15,-522.99,137.24,97.35,7.19,-1.96
361.12,-522.80,137.47,97.32,7.21,-1.97
361.09,-522.62,137.70,97.29,7.22,-1.98
361.05,-522.43,137.93,97.27,7.24,-1.99
361.02,-522.24,138.16,97.24,7.26,-2.00
360.98,-522.05,138.39,97.21,7.27,-2.01
360.95,-521.87,138.62,97.19,7.29,-2.01
360.92,-521.68,138.85,97.16,7.31,-2.02
360.88,-521.49,139.08,97.13,7.33,-2.03
360.85,-521.31,139.31,97.10,7.34,-2.04
360.81,-521.12,139.54,97.08,7.36,-2.05
360.78,-520.93,139.77,97.05,7.38,-2.06
360.75,-520.74,140.00,97.02,7.39,-2.07
360.71,-520.56,140.23,96.99,7.41,-2.08
360.68,-520.37,140.46,96.97,7.43,-2.09
360.64,-520.16,140.65,96.95,7.45,-2.11
360.59,-519.94,140.85,96.94,7.46,-2.12
360.55,-519.73,141.04,96.92,7.48,-2.14
360.51,-519.52,141.23,96.91,7.50,-2.16
360.46,-519.30,141.43,96.89,7.52,-2.18
360.42,-519.09,141.62,96.87,7.53,-2.19
360.38,-518.88,141.82,96.86,7.55,-2.21
360.33,-518.66,142.01,96.84,7.57,-2.23
360.29,-518.45,142.20,96.83,7.59,-2.24
360.25,-518.24,142.40,96.81,7.61,-2.26
360.21,-518.02,142.59,96.80,7.62,-2.28
360.16,-517.81,142.79,96.78,7.64,-2.30
360.12,-517.60,142.98,96.77,7.66,-2.31
360.08,-517.38,143.17,96.75,7.68,-2.33
360.03,-517.17,143.37,96.74,7.70,-2.35
359.99,-516.96,143.56,96.72,7.71,-2.37
359.95,-516.74,143.76,96.71,7.73,-2.38
359.90,-516.53,143.95,96.69,7.75,-2.40
359.86,-516.32,144.14,96.68,7.77,-2.42
359.82,-516.10,144.34,96.66,7.78,-2.44
359.77,-515.89,144.53,96.64,7.80,-2.45
359.73,-515.68,144.73,96.63,7.82,-2.47
359.69,-515.46,144.92,96.61,7.84,-2.49
359.65,-515.25,145.11,96.60,7.86,-2.50
359.59,-515.01,145.28,96.59,7.87,-2.53
359.54,-514.78,145.44,96.59,7.89,-2.55
359.49,-514.54,145.60,96.59,7.91,-2.58
359.44,-514.30,145.76,96.58,7.93,-2.60
359.38,-514.07,145.92,96.58,7.95,-2.63
359.33,-513.83,146.08,96.57,7.97,-2.65
359.28,-513.60,146.25,96.57,7.99,-2.68
359.23,-513.36,146.41,96.56,8.01,-2.70
359.17,-513.12,146.57,96.56,8.02,-2.72
359.12,-512.89,146.73,96.55,8.04,-2.75
359.07,-512.65,146.89,96.55,8.06,-2.77
359.02,-512.42,147.05,96.55,8.08,-2.80
358.96,-512.18,147.22,96.54,8.10,-2.82
358.91,-511.94,147.38,96.54,8.12,-2.85
358.86,-511.71,147.54,96.53,8.14,-2.87
358.81,-511.47,147.70,96.53,8.15,-2.90
358.75,-511.24,147.86,96.52,8.17,-2.92
358.70,-511.00,148.02,96.52,8.19,-2.94
358.65,-510.76,148.19,96.52,8.21,-2.97
358.60,-510.53,148.35,96.51,8.23,-2.99
358.54,-510.29,148.51,96.51,8.25,-3.02
358.49,-510.06,148.67,96.50,8.27,-3.04
358.44,-509.82,148.83,96.50,8.29,-3.07
358.39,-509.58,148.99,96.49,8.30,-3.09
358.33,-509.33,149.13,96.50,8.32,-3.12
358.26,-509.07,149.26,96.50,8.34,-3.15
358.20,-508.82,149.39,96.51,8.36,-3.18
358.14,-508.56,149.53,96.52,8.38,-3.21
358.08,-508.31,149.66,96.52,8.40,-3.24
358.02,-508.05,149.79,96.53,8.42,-3.27
357.95,-507.80,149.93,96.53,8.44,-3.30
357.89,-507.54,150.06,96.54,8.46,-3.33
357.83,-507.29,150.19,96.54,8.48,-3.37
357.77,-507.03,150.32,96.55,8.50,-3.40
357.70,-506.78,150.46,96.55,8.52,-3.43
357.64,-506.52,150.59,96.56,8.54,-3.46
357.58,-506.27,150.72,96.56,8.55,-3.49
357.52,-506.01,150.86,96.57,8.57,-3.52
357.46,-505.75,150.99,96.58,8.59,-3.55
357.39,-505.50,151.12,96.58,8.61,-3.58
357.33,-505.24,151.26,96.59,8.63,-3.61
357.27,-504.99,151.39,96.59,8.65,-3.64
357.21,-504.73,151.52,96.60,8.67,-3.67
357.15,-504.48,151.65,96.60,8.69,-3.70
357.08,-504.22,151.79,96.61,8.71,-3.73
357.02,-503.97,151.92,96.61,8.73,-3.76
356.96,-503.71,152.05,96.62,8.75,-3.79
356.90,-503.46,152.19,96.62,8.77,-3.82
356.83,-503.20,152.29,96.64,8.79,-3.86
356.76,-502.94,152.39,96.65,8.80,-3.89
356.69,-502.68,152.50,96.67,8.82,-3.93
356.62,-502.42,152.60,96.68,8.84,-3.96
356.55,-502.16,152.70,96.69,8.86,-3.99
356.48,-501.90,152.81,96.71,8.88,-4.03
356.41,-501.64,152.91,96.72,8.90,-4.06
356.34,-501.38,153.02,96.73,8.92,-4.10
356.27,-501.12,153.12,96.75,8.94,-4.13
356.21,-500.85,153.22,96.76,8.96,-4.17
356.14,-500.59,153.33,96.78,8.97,-4.20
356.07,-500.33,153.43,96.79,8.99,-4.23
356.00,-500.07,153.53,96.80,9.01,-4.27
355.93,-499.81,153.64,96.82,9.03,-4.30
355.86,-499.55,153.74,96.83,9.05,-4.34
355.79,-499.29,153.84,96.84,9.07,-4.37
355.72,-499.03,153.95,96.86,9.09,-4.41
355.65,-498.77,154.05,96.87,9.11,-4.44
355.58,-498.51,154.15,96.89,9.13,-4.47
355.51,-498.25,154.26,96.90,9.15,-4.51
355.44,-497.99,154.36,96.91,9.16,-4.54
355.38,-497.73,154.47,96.93,9.18,-4.58
